Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,122909404.3,106910594,103830263.8,116326747,214276442,237946017.5,236343697.9,181786252.9,148903855.7,139507412.5,136311955.6,121827806.7,127052247.6,137053605.7,153195695.5,144923649.4,132419817.1,91867874.12,131466501,210590013.3,181175454.9,154510967.2,157902473.5,193663724.5,259571697.5,213800567.3,239797985.5,362717270.5,361797180.3,,181175454.9
Canada,CAN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,23529517647,20836199991,14744867435,14845679468,13774515278,16369362024,21562298750,18718498840,24023245895,28650287867,32427268296,34252695468,37189390324,36267581049,34476385088,33018041276,35063091947,41082108779,43872316564,54356329767,57151157771,65818985667,68546343362,71937085416,74699962253,79753521150,82718110858,86677706697,83925602808,85297110784,57151157771
Switzerland,CHE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,61284432315,58450951447,61006849704,65167423128,66645253531,68620316793,69182548684,63195012603,65157795246,60492112040,53620270122,51549537913,61276111966,69563022240,74567877421,57575300181,64461048830,75172320982,74145636041,1.35E+11,2.70E+11,3.31E+11,5.31E+11,5.36E+11,5.46E+11,6.02E+11,6.79E+11,8.11E+11,7.87E+11,8.55E+11,2.70E+11
Chile,CHL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,6783811633,7700029233,9789837752,10368846509,13801961381,14859706881,15659156324,18112424931,16221026833,14970636412,15055115211,14399463581,15343862167,15842927419,15997301155,16933297690,19396987007,16843397511,23079229514,25292079031,27827450636,41943889985,41649256238,41093252539,40447379052,38641176606,40493293730,38981539754,39858824175,40655524238,27827450636
China,CHN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,34475661159,48165019103,24852636915,27348104117,57781337884,80288427870,1.12E+11,1.46E+11,1.53E+11,1.61E+11,1.72E+11,2.20E+11,2.98E+11,4.16E+11,6.23E+11,8.31E+11,1.08E+12,1.55E+12,1.97E+12,2.45E+12,2.91E+12,3.25E+12,3.39E+12,3.88E+12,3.90E+12,3.41E+12,3.10E+12,3.24E+12,3.17E+12,3.22E+12,2.91E+12
Cameroon,CMR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,37075058.96,53628537.07,30352645.08,14152080.8,13740919.65,15372103.26,13833208.91,9555390.854,9911701.413,13121977.88,220219413,340115355.1,639930327.3,652135227.6,842430190,964745492.9,1735263262,2931745510,3112861315,3675521656,3642642766,3198717753,3380703262,3471999831,3168216856,3536255066,2225708778,3196791411,3459329761,,3642642766
"Congo, Dem. Rep.",COD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,260650000,193104400,166061000,54794299.78,131421000,157429000,82500000,98304292.54,82500000,82500000,82500000,82500000,73858396.52,97757335.85,236242009.3,131200257.9,154503797.2,180677437,77733370.44,1035381388,1299652041,1267500303,1632551644,1678465312,1556982978,1215934551,708160749.2,695398162,665272095,,1299652041
"Congo, Rep.",COG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,10192493.16,8694635.007,7714245.899,5684242.053,54626028.28,63605442.8,95102838.92,63149533.62,4043309.956,42583558.47,225059392,71990506.36,35447852.89,39441158.06,124471455.3,737537427.5,1848005218,2183569353,3881458051,3806250384,4446850566,5641136196,5549563315,5245011451,4926098059,2221497219,714352000.8,379984138.8,423617388.3,,4446850566
Colombia,COL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,4868520136,6838512019,7907619825,8048472525,8102672454,8451976393,9938020380,9906526425,8753946806,8103046539,9005870485,10244081685,10844467605,10920223457,13536934555,14954554923,15437167996,20951442987,23670593274,24987458716,28076156124,31895547051,36997795800,43158795572,46809443348,46222893469,46173772893,47131104747,47887623364,52652707435,28076156124
Comoros,COM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,29914188.65,29376988.23,27281155.21,39023655.73,44412092.81,44871592.06,50918859.39,40648724.42,39309122.04,37315507.35,43370718.71,62479684.97,80135345.67,94540111.96,103991907.5,86095117.22,93890572.09,117643066.4,112663906.9,150899368,146075888.5,156064553.7,195019557.1,174071468,171159502.4,200562427.7,159412124.1,207879895.5,199213183.3,202031707.2,146075888.5
