Country Name,Country Code,Indicator Name,Indicator Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924333,11.88192814,19.44996951,13.05940589,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.325890898,0.44366348,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763793,6.245437363,-7.652310203,8.563630792,6.048361455,4.456144471,11.34339697,4.149262255,-1.697935427,4.303767448,2.903997732,4.478836553,2.966125648,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,2.970275648,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.474126385,-3.187262083,2.601339349,5.908457123,4.737399829,2.144972033,4.072959147,4.410110979,2.316979289,0.16467258,-2.086085468,0.90025956,2.660856586,4.494466182,2.693976286,1.61917249,-3.845294416,2.79654248,3.970482637,4.917762744,1.405527589,3.422146171,3.811090153,3.914028782,4.995860869,4.165817627,6.868608857,1.007622695,-2.928400167,3.08949462,3.146881372,1.762222549,2.329122506,2.870036075,0.659176864,1.001394414,3.170729897,2.013639187,1.656040845,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,-9.691590296,-1.978092946,1.603774299,4.071135345,5.636811535,4.540371035,2.402863755,2.707897813,1.96981119,3.956854299,3.027074085,3.548967921,4.066622014,5.752424025,4.990897923,6.559019248,6.383393634,3.905588563,-3.417896172,1.709521918,3.155178246,0.668603028,1.245979387,2.991150884,3.980465821,3.090336284,4.893100789,4.502406488,3.824116844,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.601336012,-1.309417624,0.639079568,3.008456275,3.673596089,1.85863277,1.585478215,3.277596198,4.330794017,3.674625673,-0.915816517,-0.043733019,-0.125983574,1.269757688,0.480866509,0.540027568,2.340149834,2.989891802,1.694719825,3.936823537,1.312423626,0.162612987,0.039576572,2.776223402,3.115245649,3.988634104,4.111877785,2.154701961,-2.222107159,3.002699064,1.692808513,1.006024046,1.852039816,2.449218056,1.333369175,1.72274067,1.79940885,2.750553775,0.928832412,
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,,,,,,,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.525370365,-11.01430506,-5.017420525,4.103683242,4.009916202,5.377692322,6.460468528,7.345110455,9.923382897,3.333565473,7.804392186,11.16670773,6.588783827,5.030197977,8.933295869,6.802916596,7.427889808,4.324579497,-0.412096167,5.326938419,3.303047313,3.106970532,4.091047685,7.209539709,5.742830489,6.317176343,4.905324504,3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.711089289,1.188572582,3.949320891,1.054442551,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.112761091,9.017113914,10.77020251,15.19154002,13.43067752,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786085,14.22452959,13.8837293,13.03680663,10.95395434,9.922556753,9.236779892,7.845951787,7.6616515,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773833,6.110118288,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.500498907,0.200822352,-3.900240442,-2.701261434,4.501223175,3.259348767,-0.348972909,1.136483964,2.948004945,-1.095908411,0.040925168,-0.244560612,-0.1924851,0.811206685,7.125744724,7.729327422,3.743553144,4.930679628,1.617527443,-2.068400057,0.121371916,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842363,1.765036784,2.542841476,3.251453718,2.017638592,-4.387254789,10.7065041,8.889421302,8.79407739,8.84285995,7.179207824,7.359638088,6.89028432,6.231709513,
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,17.08268225,7.516202606,6.866830566,7.474572543,8.063161672,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.123935444,3.469792148,4.361086518,5.231320709,4.502291241,4.292016945,3.553374364,4.368084242,4.237203677,4.567195256,6.780955924,2.020662307,3.457668793,4.902201732,3.488800919,2.198664102,3.422507641,4.129277161,4.543265016,5.40426571,5.884059327,5.651463744,4.648481551,3.549087318,4.062486841,3.720711422,
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.350524075,-0.457677609,1.411703688,5.541074022,0.467850951,4.717209653,2.675642451,0.470381337,-1.266050636,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288097,6.91618781,2.399379098,3.726947653,5.8211211,4.384528881,
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,17.61972247,23.59769996,5.85396284,6.976131056,-1.185660855,-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,7.986238363,-6.613994804,6.306375956,11.63728886,9.931265431,2.205919363,9.947153143,-0.712434452,5.955207467,-3.235257871,-10.19038534,-4.63308756,-6.204007024,-3.544130306,
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.276872747,0.948420786,1.573956038,3.350683739,3.107106194,5.824076138,5.368932148,4.064173245,3.414096109,4.281998332,2.001607597,4.044929438,5.385409939,5.814661908,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,2.924861483,1.677898308,2.503980466,3.918271904,5.333022067,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.515324456,3.260216702,
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.864928957,6.38331701,4.821401883,4.110299989,2.279960777,1.867612167,1.637784181,2.687379404,-3.180256516,5.091236413,-5.395637149,8.530981788,3.006061307,-5.276782997,3.610206432,-1.291688926,4.030153668,1.282515793,1.924408712,10.84787862,2.332907102,2.324944861,2.103871636,1.919659807,2.83754787,2.646955476,0.800042349,3.999971991,3.200113112,3.799933455,4.099846955,3.200272903,4.499874215,2.100006438,1.116140583,3.320680025,3.815702113,3.430764136,1.986109517,
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.451562412,2.825030083,9.520749753,3.783270681,8.642086617,2.871455425,4.309063729,5.996854915,5.697949367,0.692171874,1.404146852,10.93764724,8.708311376,19.18264182,14.21163626,11.34652473,11.11842604,12.51728567,11.22264853,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270425968,1.466790097,3.968886345,1.081918279,0.802797601,0.611212666,1.006863707,4.705791487,3.702039209,4.531161683,5.66775246,
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.261655507,-7.285568847,2.862992702,8.024107907,0.721601729,5.536250843,4.764533279,3.43214738,5.665975549,3.553063365,2.26565499,9.19656098,7.08751725,4.487266995,4.121496396,1.237816358,5.564945547,6.961700255,3.943353587,3.833166661,3.490469522,3.291753162,4.25547684,4.336574811,3.870873326,7.237732745,8.16789615,4.649598233,-0.970548313,4.951863844,4.30710166,4.796919919,2.2690274,3.515338564,3.631731442,4.245989878,3.860198454,2.660375294,2.083794843,
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.0258941,0.961817704,-2.424340664,0.852639834,-0.001925587,1.31966137,1.890521849,2.174768654,4.13588804,0.914593396,1.398888585,2.196127362,3.029402021,2.793911354,2.907362318,3.456187321,3.111294248,2.907030342,4.065515397,3.698747045,2.016009153,3.577062855,5.623476628,3.930885408,3.603531165,6.80598823,3.3151694,1.28434336,-3.567057935,1.336454995,1.131679311,1.306702303,0.800209848,0.489818227,0.98128748,-1.329913867,0.517131031,1.637278088,0.957077018,
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,19.68833433,8.918234965,5.411470724,7.929716515,1.596674599,0.095303386,-2.402172538,3.705539907,0.680083233,-2.948564945,-10.69269711,-11.58060308,-14.87818069,0.71693031,2.457201172,7.838749659,2.783425042,0.159146052,6.188755304,5.914760174,3.185029904,1.424821261,3.792740223,5.77053807,11.20165642,12.06586311,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438141959,0.513761468,1.809054399,2.248480393,,
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,-0.695752956,0.397065105,0.288184819,0.208461863,0.676426257,1.63593427,2.469962305,2.188044622,-0.53130945,0.08230596,0.612608577,-0.138917069,-0.794106769,-1.138838621,0.278694931,-0.986569701,-1.73976542,-2.166131078,-3.4,
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162625338,-0.357401373,-7.200482782,-2.715636823,1.169062695,1.229753683,1.279330593,2.654529322,2.833122427,3.239977438,3.102561215,4.12648552,,
